ED,Reported As,Reporting,Michael A. Walrond Jr.,Adriano Espaillat,Charles B. Rangel,Scattered,Yolanda Garcia,Total Votes,p_Michael A. Walrond Jr.,p_Adriano Espaillat,p_Charles B. Rangel,p_Scattered,p_Yolanda Garcia,winner,winner_p
72034,72034,100,1,138,19,0,1,159,0.006289308176100629,0.8679245283018868,0.11949685534591195,0.0,0.006289308176100629,Adriano Espaillat,0.8679245283018868
72035,72035,100,4,139,11,1,0,155,0.025806451612903226,0.896774193548387,0.07096774193548387,0.0064516129032258064,0.0,Adriano Espaillat,0.896774193548387
72036,72036,100,2,83,50,1,3,139,0.014388489208633094,0.5971223021582733,0.3597122302158273,0.007194244604316547,0.02158273381294964,Adriano Espaillat,0.5971223021582733
72037,72037,100,0,32,13,0,1,46,0.0,0.6956521739130435,0.2826086956521739,0.0,0.021739130434782608,Adriano Espaillat,0.6956521739130435
72038,72038,100,1,53,20,0,3,77,0.012987012987012988,0.6883116883116883,0.2597402597402597,0.0,0.03896103896103896,Adriano Espaillat,0.6883116883116883
72039,72039,100,5,141,58,0,8,212,0.02358490566037736,0.6650943396226415,0.27358490566037735,0.0,0.03773584905660377,Adriano Espaillat,0.6650943396226415
72040,72040,100,1,78,16,0,0,95,0.010526315789473684,0.8210526315789474,0.16842105263157894,0.0,0.0,Adriano Espaillat,0.8210526315789474
72041,72041,100,8,133,61,1,4,207,0.03864734299516908,0.642512077294686,0.2946859903381642,0.004830917874396135,0.01932367149758454,Adriano Espaillat,0.642512077294686
72042,72042,100,7,147,40,0,1,195,0.035897435897435895,0.7538461538461538,0.20512820512820512,0.0,0.005128205128205128,Adriano Espaillat,0.7538461538461538
72043,72043,100,2,108,22,0,1,133,0.015037593984962405,0.8120300751879699,0.16541353383458646,0.0,0.007518796992481203,Adriano Espaillat,0.8120300751879699
72044,72044,100,1,111,24,0,3,139,0.007194244604316547,0.7985611510791367,0.17266187050359713,0.0,0.02158273381294964,Adriano Espaillat,0.7985611510791367
72045,72045,100,0,98,15,0,0,113,0.0,0.8672566371681416,0.13274336283185842,0.0,0.0,Adriano Espaillat,0.8672566371681416
72046,72046,100,3,55,21,0,0,79,0.0379746835443038,0.6962025316455697,0.26582278481012656,0.0,0.0,Adriano Espaillat,0.6962025316455697
72047,72047,100,2,128,21,0,0,151,0.013245033112582781,0.847682119205298,0.1390728476821192,0.0,0.0,Adriano Espaillat,0.847682119205298
72048,72048,100,3,145,25,0,0,173,0.017341040462427744,0.838150289017341,0.14450867052023122,0.0,0.0,Adriano Espaillat,0.838150289017341
72049,72049,100,3,148,10,0,2,163,0.018404907975460124,0.9079754601226994,0.06134969325153374,0.0,0.012269938650306749,Adriano Espaillat,0.9079754601226994
72050,72050,100,8,85,81,1,3,178,0.0449438202247191,0.47752808988764045,0.4550561797752809,0.0056179775280898875,0.016853932584269662,Adriano Espaillat,0.47752808988764045
72051,72051,100,0,83,68,1,2,154,0.0,0.538961038961039,0.44155844155844154,0.006493506493506494,0.012987012987012988,Adriano Espaillat,0.538961038961039
72052,72052,100,1,136,74,0,1,212,0.0047169811320754715,0.6415094339622641,0.3490566037735849,0.0,0.0047169811320754715,Adriano Espaillat,0.6415094339622641
72053,72053,100,4,137,28,1,0,170,0.023529411764705882,0.8058823529411765,0.16470588235294117,0.0058823529411764705,0.0,Adriano Espaillat,0.8058823529411765
72054,72054,100,0,123,11,0,0,134,0.0,0.917910447761194,0.08208955223880597,0.0,0.0,Adriano Espaillat,0.917910447761194
72055,72055,100,0,79,20,0,0,99,0.0,0.797979797979798,0.20202020202020202,0.0,0.0,Adriano Espaillat,0.797979797979798
72056,72056,100,3,146,12,0,1,162,0.018518518518518517,0.9012345679012346,0.07407407407407407,0.0,0.006172839506172839,Adriano Espaillat,0.9012345679012346
72057,72057,100,11,47,46,0,3,107,0.102803738317757,0.4392523364485981,0.42990654205607476,0.0,0.028037383177570093,Adriano Espaillat,0.4392523364485981
72058,72058,100,3,96,52,0,3,154,0.01948051948051948,0.6233766233766234,0.33766233766233766,0.0,0.01948051948051948,Adriano Espaillat,0.6233766233766234
72059,72059,100,4,64,41,0,0,109,0.03669724770642202,0.5871559633027523,0.3761467889908257,0.0,0.0,Adriano Espaillat,0.5871559633027523
72060,72060,100,5,113,46,0,1,165,0.030303030303030304,0.6848484848484848,0.2787878787878788,0.0,0.006060606060606061,Adriano Espaillat,0.6848484848484848
72061,72061,100,3,111,13,0,0,127,0.023622047244094488,0.8740157480314961,0.10236220472440945,0.0,0.0,Adriano Espaillat,0.8740157480314961
72062,72062,100,1,139,14,0,0,154,0.006493506493506494,0.9025974025974026,0.09090909090909091,0.0,0.0,Adriano Espaillat,0.9025974025974026
72063,72063,100,1,131,19,0,3,154,0.006493506493506494,0.8506493506493507,0.12337662337662338,0.0,0.01948051948051948,Adriano Espaillat,0.8506493506493507
72064,72064,100,6,80,47,1,6,140,0.04285714285714286,0.5714285714285714,0.3357142857142857,0.007142857142857143,0.04285714285714286,Adriano Espaillat,0.5714285714285714
72065,72065,100,1,87,17,1,3,109,0.009174311926605505,0.7981651376146789,0.1559633027522936,0.009174311926605505,0.027522935779816515,Adriano Espaillat,0.7981651376146789
72066,72066,100,5,90,54,0,1,150,0.03333333333333333,0.6,0.36,0.0,0.006666666666666667,Adriano Espaillat,0.6
72067,72067,100,8,77,64,1,4,154,0.05194805194805195,0.5,0.4155844155844156,0.006493506493506494,0.025974025974025976,Adriano Espaillat,0.5
72068,72068,100,11,131,85,2,0,229,0.048034934497816595,0.5720524017467249,0.37117903930131,0.008733624454148471,0.0,Adriano Espaillat,0.5720524017467249
72069,72069,100,6,74,62,1,0,143,0.04195804195804196,0.5174825174825175,0.43356643356643354,0.006993006993006993,0.0,Adriano Espaillat,0.5174825174825175
72070,72070,100,3,78,21,0,2,104,0.028846153846153848,0.75,0.20192307692307693,0.0,0.019230769230769232,Adriano Espaillat,0.75
72071,72071,100,4,58,48,1,2,113,0.035398230088495575,0.5132743362831859,0.4247787610619469,0.008849557522123894,0.017699115044247787,Adriano Espaillat,0.5132743362831859
72072,72072,100,2,107,51,0,1,161,0.012422360248447204,0.6645962732919255,0.3167701863354037,0.0,0.006211180124223602,Adriano Espaillat,0.6645962732919255
