ED,Reported As,Reporting,Ruth H. Thompson,Crystal Collins,Scattered,Total Votes,p_Ruth H. Thompson,p_Crystal Collins,p_Scattered,winner,winner_p
83054,83054,100,22,6,0,28,0.7857142857142857,0.21428571428571427,0.0,Ruth H. Thompson,0.7857142857142857
83055,83055,100,57,2,0,59,0.9661016949152542,0.03389830508474576,0.0,Ruth H. Thompson,0.9661016949152542
83056,83056,100,45,7,0,52,0.8653846153846154,0.1346153846153846,0.0,Ruth H. Thompson,0.8653846153846154
83057,83057,100,59,1,0,60,0.9833333333333333,0.016666666666666666,0.0,Ruth H. Thompson,0.9833333333333333
83058,83058,100,26,11,0,37,0.7027027027027027,0.2972972972972973,0.0,Ruth H. Thompson,0.7027027027027027
83059,83059,100,56,27,0,83,0.6746987951807228,0.3253012048192771,0.0,Ruth H. Thompson,0.6746987951807228
83060,83060,100,19,7,0,26,0.7307692307692307,0.2692307692307692,0.0,Ruth H. Thompson,0.7307692307692307
83061,83061,100,33,6,0,39,0.8461538461538461,0.15384615384615385,0.0,Ruth H. Thompson,0.8461538461538461
83062,83062,100,29,9,1,39,0.7435897435897436,0.23076923076923078,0.02564102564102564,Ruth H. Thompson,0.7435897435897436
83063,83063,100,11,14,0,25,0.44,0.56,0.0,Crystal Collins,0.56
83064,83064,100,32,14,0,46,0.6956521739130435,0.30434782608695654,0.0,Ruth H. Thompson,0.6956521739130435
83065,83065,100,23,2,0,25,0.92,0.08,0.0,Ruth H. Thompson,0.92
83066,83066,100,38,5,1,44,0.8636363636363636,0.11363636363636363,0.022727272727272728,Ruth H. Thompson,0.8636363636363636
83067,83067,100,50,14,0,64,0.78125,0.21875,0.0,Ruth H. Thompson,0.78125
83069,83069,100,70,10,0,80,0.875,0.125,0.0,Ruth H. Thompson,0.875
83070,83070,100,51,7,0,58,0.8793103448275862,0.1206896551724138,0.0,Ruth H. Thompson,0.8793103448275862
83071,83071,100,43,2,0,45,0.9555555555555556,0.044444444444444446,0.0,Ruth H. Thompson,0.9555555555555556
83072,83072,100,39,2,1,42,0.9285714285714286,0.047619047619047616,0.023809523809523808,Ruth H. Thompson,0.9285714285714286
