ED,Reported As,Reporting,Ed A. Hartzog,Gus Christensen,Rebecca A. Seawright,Scattered,David J. Menegon,Total Votes,p_Ed A. Hartzog,p_Gus Christensen,p_Rebecca A. Seawright,p_Scattered,p_David J. Menegon,winner,winner_p
76073,76073,100,9,36,57,1,5,108,0.08333333333333333,0.3333333333333333,0.5277777777777778,0.009259259259259259,0.046296296296296294,Rebecca A. Seawright,0.5277777777777778
76074,76074,100,2,37,39,1,7,86,0.023255813953488372,0.43023255813953487,0.45348837209302323,0.011627906976744186,0.08139534883720931,Rebecca A. Seawright,0.45348837209302323
76075,76075,100,13,42,46,0,15,116,0.11206896551724138,0.3620689655172414,0.39655172413793105,0.0,0.12931034482758622,Rebecca A. Seawright,0.39655172413793105
76076,76076,100,0,8,31,0,10,49,0.0,0.16326530612244897,0.6326530612244898,0.0,0.20408163265306123,Rebecca A. Seawright,0.6326530612244898
76077,76077,100,4,42,46,0,13,105,0.0380952380952381,0.4,0.4380952380952381,0.0,0.12380952380952381,Rebecca A. Seawright,0.4380952380952381
76078,76078,100,10,65,60,0,6,141,0.07092198581560284,0.46099290780141844,0.425531914893617,0.0,0.0425531914893617,Gus Christensen,0.46099290780141844
76079,76079,100,2,54,45,1,14,116,0.017241379310344827,0.46551724137931033,0.3879310344827586,0.008620689655172414,0.1206896551724138,Gus Christensen,0.46551724137931033
76080,76080,100,4,10,34,1,8,57,0.07017543859649122,0.17543859649122806,0.5964912280701754,0.017543859649122806,0.14035087719298245,Rebecca A. Seawright,0.5964912280701754
76081,76081,100,3,14,21,0,9,47,0.06382978723404255,0.2978723404255319,0.44680851063829785,0.0,0.19148936170212766,Rebecca A. Seawright,0.44680851063829785
76082,76082,100,2,10,11,0,2,25,0.08,0.4,0.44,0.0,0.08,Rebecca A. Seawright,0.44
76083,76083,100,36,52,94,0,20,202,0.1782178217821782,0.25742574257425743,0.46534653465346537,0.0,0.09900990099009901,Rebecca A. Seawright,0.46534653465346537
76084,76084,100,11,35,39,0,11,96,0.11458333333333333,0.3645833333333333,0.40625,0.0,0.11458333333333333,Rebecca A. Seawright,0.40625
76085,76085,100,14,17,38,0,8,77,0.18181818181818182,0.22077922077922077,0.4935064935064935,0.0,0.1038961038961039,Rebecca A. Seawright,0.4935064935064935
76086,76086,100,8,12,37,0,11,68,0.11764705882352941,0.17647058823529413,0.5441176470588235,0.0,0.16176470588235295,Rebecca A. Seawright,0.5441176470588235
76087,76087,100,3,13,15,0,6,37,0.08108108108108109,0.35135135135135137,0.40540540540540543,0.0,0.16216216216216217,Rebecca A. Seawright,0.40540540540540543
76088,76088,100,7,21,35,0,5,68,0.10294117647058823,0.3088235294117647,0.5147058823529411,0.0,0.07352941176470588,Rebecca A. Seawright,0.5147058823529411
76089,76089,100,4,22,39,1,5,71,0.056338028169014086,0.30985915492957744,0.5492957746478874,0.014084507042253521,0.07042253521126761,Rebecca A. Seawright,0.5492957746478874
76090,76090,100,3,21,41,1,8,74,0.04054054054054054,0.28378378378378377,0.5540540540540541,0.013513513513513514,0.10810810810810811,Rebecca A. Seawright,0.5540540540540541
76200,76200,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76201,76200,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76202,76200,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76203,76200,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76204,76200,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76205,76200,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76206,76200,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
76207,76087,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
