ED,Reported As,Reporting,Yes,No,Total Votes,p_Yes,p_No,winner,winner_p
47016,47016,99.00,3,0,3,1.0,0.0,Yes,1.0
47017,47017,99.00,61,31,92,0.6630434782608695,0.33695652173913043,Yes,0.6630434782608695
47018,47018,99.00,35,31,66,0.5303030303030303,0.4696969696969697,Yes,0.5303030303030303
47019,47019,99.00,1,0,1,1.0,0.0,Yes,1.0
47020,47020,99.00,67,34,101,0.6633663366336634,0.33663366336633666,Yes,0.6633663366336634
47021,47021,99.00,5,1,6,0.8333333333333334,0.16666666666666666,Yes,0.8333333333333334
47022,47022,99.00,5,3,8,0.625,0.375,Yes,0.625
47023,47023,99.00,102,29,131,0.7786259541984732,0.22137404580152673,Yes,0.7786259541984732
47024,47024,99.00,91,37,128,0.7109375,0.2890625,Yes,0.7109375
47025,47025,99.00,91,42,133,0.6842105263157895,0.3157894736842105,Yes,0.6842105263157895
47026,47026,99.00,54,31,85,0.6352941176470588,0.36470588235294116,Yes,0.6352941176470588
47027,47027,99.00,78,38,116,0.6724137931034483,0.3275862068965517,Yes,0.6724137931034483
47028,47028,99.00,111,39,150,0.74,0.26,Yes,0.74
47029,47029,99.00,76,43,119,0.6386554621848739,0.36134453781512604,Yes,0.6386554621848739
47030,47030,99.00,7,4,11,0.6363636363636364,0.36363636363636365,Yes,0.6363636363636364
47031,47031,99.00,82,36,118,0.6949152542372882,0.3050847457627119,Yes,0.6949152542372882
47032,47032,99.00,2,1,3,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
47033,47033,99.00,1,0,1,1.0,0.0,Yes,1.0
47034,47034,99.00,0,0,0,0,0,n/a,0
47035,47035,99.00,0,0,0,0,0,n/a,0
47036,47036,99.00,2,0,2,1.0,0.0,Yes,1.0
47037,47037,99.00,80,28,108,0.7407407407407407,0.25925925925925924,Yes,0.7407407407407407
47038,47038,99.00,3,2,5,0.6,0.4,Yes,0.6
47039,47039,99.00,2,0,2,1.0,0.0,Yes,1.0
47040,47040,99.00,59,33,92,0.6413043478260869,0.358695652173913,Yes,0.6413043478260869
47041,47041,99.00,2,0,2,1.0,0.0,Yes,1.0
47042,47042,99.00,2,1,3,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
47043,47043,99.00,103,53,156,0.6602564102564102,0.33974358974358976,Yes,0.6602564102564102
47044,47044,99.00,101,37,138,0.7318840579710145,0.26811594202898553,Yes,0.7318840579710145
47045,47045,99.00,59,31,90,0.6555555555555556,0.34444444444444444,Yes,0.6555555555555556
47046,47046,99.00,44,37,81,0.5432098765432098,0.4567901234567901,Yes,0.5432098765432098
47047,47047,99.00,75,31,106,0.7075471698113207,0.29245283018867924,Yes,0.7075471698113207
47048,47048,99.00,74,46,120,0.6166666666666667,0.38333333333333336,Yes,0.6166666666666667
47049,47049,99.00,5,3,8,0.625,0.375,Yes,0.625
47050,47050,99.00,97,43,140,0.6928571428571428,0.30714285714285716,Yes,0.6928571428571428
47051,47051,99.00,87,66,153,0.5686274509803921,0.43137254901960786,Yes,0.5686274509803921
47052,47052,99.00,2,3,5,0.4,0.6,No,0.6
47053,47053,99.00,66,31,97,0.6804123711340206,0.31958762886597936,Yes,0.6804123711340206
47054,47054,99.00,1,1,2,0.5,0.5,Tie,0.5
47055,47055,99.00,91,45,136,0.6691176470588235,0.33088235294117646,Yes,0.6691176470588235
47056,47056,99.00,0,0,0,0,0,n/a,0
47057,47057,99.00,78,49,127,0.6141732283464567,0.3858267716535433,Yes,0.6141732283464567
47058,47058,99.00,53,24,77,0.6883116883116883,0.3116883116883117,Yes,0.6883116883116883
47059,47059,99.00,47,19,66,0.7121212121212122,0.2878787878787879,Yes,0.7121212121212122
47060,47060,99.00,0,0,0,0,0,n/a,0
47061,47061,99.00,47,7,54,0.8703703703703703,0.12962962962962962,Yes,0.8703703703703703
47062,47062,99.00,77,22,99,0.7777777777777778,0.2222222222222222,Yes,0.7777777777777778
47063,47063,99.00,26,22,48,0.5416666666666666,0.4583333333333333,Yes,0.5416666666666666
47064,47064,99.00,80,51,131,0.6106870229007634,0.3893129770992366,Yes,0.6106870229007634
47065,47065,99.00,4,4,8,0.5,0.5,Tie,0.5
47066,47066,99.00,1,0,1,1.0,0.0,Yes,1.0
47067,47067,99.00,0,0,0,0,0,n/a,0
47068,47068,99.00,0,1,1,0.0,1.0,No,1.0
47069,47069,99.00,7,1,8,0.875,0.125,Yes,0.875
47070,47070,99.00,51,34,85,0.6,0.4,Yes,0.6
47071,47071,99.00,6,3,9,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
47072,47072,44.44,37,26,63,0.5873015873015873,0.4126984126984127,Yes,0.5873015873015873
47073,47073,99.00,0,0,0,0,0,n/a,0
47074,47074,99.00,0,0,0,0,0,n/a,0
48001,48001,99.00,0,0,0,0,0,n/a,0
48002,48002,99.00,0,2,2,0.0,1.0,No,1.0
48003,48003,99.00,24,47,71,0.3380281690140845,0.6619718309859155,No,0.6619718309859155
48004,48004,99.00,41,118,159,0.2578616352201258,0.7421383647798742,No,0.7421383647798742
48005,48005,99.00,20,53,73,0.273972602739726,0.726027397260274,No,0.726027397260274
48006,48006,99.00,2,2,4,0.5,0.5,Tie,0.5
48007,48007,99.00,21,63,84,0.25,0.75,No,0.75
48008,48008,99.00,4,8,12,0.3333333333333333,0.6666666666666666,No,0.6666666666666666
48009,48009,99.00,15,63,78,0.19230769230769232,0.8076923076923077,No,0.8076923076923077
48010,48010,99.00,30,95,125,0.24,0.76,No,0.76
48011,48011,99.00,0,0,0,0,0,n/a,0
48012,48012,99.00,2,1,3,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
48013,48013,99.00,0,0,0,0,0,n/a,0
48014,48014,99.00,8,46,54,0.14814814814814814,0.8518518518518519,No,0.8518518518518519
48015,48015,99.00,26,148,174,0.14942528735632185,0.8505747126436781,No,0.8505747126436781
48016,48016,99.00,24,101,125,0.192,0.808,No,0.808
48017,48017,99.00,1,0,1,1.0,0.0,Yes,1.0
48018,48018,99.00,7,102,109,0.06422018348623854,0.9357798165137615,No,0.9357798165137615
48019,48019,99.00,32,130,162,0.19753086419753085,0.8024691358024691,No,0.8024691358024691
48020,48020,99.00,0,0,0,0,0,n/a,0
48021,48021,99.00,9,51,60,0.15,0.85,No,0.85
48022,48022,99.00,1,3,4,0.25,0.75,No,0.75
48023,48023,99.00,15,86,101,0.1485148514851485,0.8514851485148515,No,0.8514851485148515
48024,48024,99.00,11,67,78,0.14102564102564102,0.8589743589743589,No,0.8589743589743589
48025,48025,99.00,10,67,77,0.12987012987012986,0.8701298701298701,No,0.8701298701298701
48026,48026,99.00,77,162,239,0.32217573221757323,0.6778242677824268,No,0.6778242677824268
48027,48027,99.00,0,2,2,0.0,1.0,No,1.0
48028,48028,99.00,0,4,4,0.0,1.0,No,1.0
48029,48029,99.00,34,157,191,0.17801047120418848,0.8219895287958116,No,0.8219895287958116
48030,48030,99.00,20,181,201,0.09950248756218906,0.900497512437811,No,0.900497512437811
48031,48031,99.00,46,13,59,0.7796610169491526,0.22033898305084745,Yes,0.7796610169491526
48032,48032,99.00,41,142,183,0.22404371584699453,0.7759562841530054,No,0.7759562841530054
48033,48033,99.00,3,4,7,0.42857142857142855,0.5714285714285714,No,0.5714285714285714
48034,48034,99.00,26,14,40,0.65,0.35,Yes,0.65
48035,48035,99.00,6,4,10,0.6,0.4,Yes,0.6
48036,48036,99.00,63,29,92,0.6847826086956522,0.31521739130434784,Yes,0.6847826086956522
48037,48037,99.00,3,2,5,0.6,0.4,Yes,0.6
48038,48038,99.00,3,0,3,1.0,0.0,Yes,1.0
48039,48039,99.00,2,1,3,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
48040,48040,99.00,44,101,145,0.30344827586206896,0.696551724137931,No,0.696551724137931
48041,48041,99.00,2,0,2,1.0,0.0,Yes,1.0
48042,48042,99.00,70,123,193,0.3626943005181347,0.6373056994818653,No,0.6373056994818653
48043,48043,99.00,71,40,111,0.6396396396396397,0.36036036036036034,Yes,0.6396396396396397
48044,48044,99.00,51,24,75,0.68,0.32,Yes,0.68
48045,48045,99.00,1,3,4,0.25,0.75,No,0.75
48046,48046,99.00,0,3,3,0.0,1.0,No,1.0
48047,48047,99.00,41,83,124,0.33064516129032256,0.6693548387096774,No,0.6693548387096774
48048,48048,99.00,14,74,88,0.1590909090909091,0.8409090909090909,No,0.8409090909090909
48049,48049,99.00,12,9,21,0.5714285714285714,0.42857142857142855,Yes,0.5714285714285714
48050,48050,75.00,5,51,56,0.08928571428571429,0.9107142857142857,No,0.9107142857142857
48051,48051,99.00,67,79,146,0.4589041095890411,0.541095890410959,No,0.541095890410959
48052,48052,99.00,25,53,78,0.32051282051282054,0.6794871794871795,No,0.6794871794871795
48053,48053,99.00,0,0,0,0,0,n/a,0
48054,48054,99.00,5,1,6,0.8333333333333334,0.16666666666666666,Yes,0.8333333333333334
48055,48055,99.00,98,146,244,0.4016393442622951,0.5983606557377049,No,0.5983606557377049
48056,48056,99.00,62,102,164,0.3780487804878049,0.6219512195121951,No,0.6219512195121951
48057,48057,99.00,4,2,6,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
48058,48058,99.00,3,0,3,1.0,0.0,Yes,1.0
48059,48059,99.00,15,126,141,0.10638297872340426,0.8936170212765957,No,0.8936170212765957
48060,48060,99.00,39,126,165,0.23636363636363636,0.7636363636363637,No,0.7636363636363637
48061,48061,99.00,53,153,206,0.25728155339805825,0.7427184466019418,No,0.7427184466019418
48062,48062,99.00,80,67,147,0.54421768707483,0.4557823129251701,Yes,0.54421768707483
48063,48063,99.00,74,44,118,0.6271186440677966,0.3728813559322034,Yes,0.6271186440677966
48064,48064,99.00,15,53,68,0.22058823529411764,0.7794117647058824,No,0.7794117647058824
48065,48065,99.00,60,103,163,0.36809815950920244,0.6319018404907976,No,0.6319018404907976
48066,48066,99.00,0,0,0,0,0,n/a,0
48067,48067,99.00,10,32,42,0.23809523809523808,0.7619047619047619,No,0.7619047619047619
