ED,Reported As,Reporting,Anthony Aldorasi (StopCommonCore),Scattered,Michael N. Gianaris (Working Families),Michael N. Gianaris (Democratic),Total Votes,Anthony Aldorasi RECAP,Scattered RECAP,Michael N. Gianaris RECAP,p_Anthony Aldorasi (StopCommonCore),p_Scattered,p_Michael N. Gianaris (Working Families),p_Michael N. Gianaris (Democratic),p_Anthony Aldorasi RECAP,p_Scattered RECAP,p_Michael N. Gianaris RECAP,winner,winner_p
36029,36029,100,11,1,15,90,117,11,1,105,0.09401709401709402,0.008547008547008548,0.1282051282051282,0.7692307692307693,0.09401709401709402,0.008547008547008548,0.8974358974358975,Michael N. Gianaris RECAP,0.8974358974358975
36030,36030,100,6,2,17,96,121,6,2,113,0.049586776859504134,0.01652892561983471,0.14049586776859505,0.7933884297520661,0.049586776859504134,0.01652892561983471,0.9338842975206612,Michael N. Gianaris RECAP,0.9338842975206612
36031,36031,100,8,1,19,148,176,8,1,167,0.045454545454545456,0.005681818181818182,0.10795454545454546,0.8409090909090909,0.045454545454545456,0.005681818181818182,0.9488636363636364,Michael N. Gianaris RECAP,0.9488636363636364
36032,36032,100,9,1,22,117,149,9,1,139,0.06040268456375839,0.006711409395973154,0.1476510067114094,0.785234899328859,0.06040268456375839,0.006711409395973154,0.9328859060402684,Michael N. Gianaris RECAP,0.9328859060402684
36033,36033,100,7,2,21,196,226,7,2,217,0.030973451327433628,0.008849557522123894,0.09292035398230089,0.8672566371681416,0.030973451327433628,0.008849557522123894,0.9601769911504425,Michael N. Gianaris RECAP,0.9601769911504425
36034,36034,100,7,1,29,159,196,7,1,188,0.03571428571428571,0.00510204081632653,0.14795918367346939,0.8112244897959183,0.03571428571428571,0.00510204081632653,0.9591836734693877,Michael N. Gianaris RECAP,0.9591836734693877
36035,36035,100,9,0,29,174,212,9,0,203,0.04245283018867924,0.0,0.13679245283018868,0.8207547169811321,0.04245283018867924,0.0,0.9575471698113207,Michael N. Gianaris RECAP,0.9575471698113207
36036,36036,100,10,0,44,163,217,10,0,207,0.04608294930875576,0.0,0.20276497695852536,0.7511520737327189,0.04608294930875576,0.0,0.9539170506912442,Michael N. Gianaris RECAP,0.9539170506912442
36037,36037,100,14,2,47,178,241,14,2,225,0.058091286307053944,0.008298755186721992,0.1950207468879668,0.7385892116182573,0.058091286307053944,0.008298755186721992,0.9336099585062241,Michael N. Gianaris RECAP,0.9336099585062241
36038,36038,100,9,0,29,184,222,9,0,213,0.04054054054054054,0.0,0.13063063063063063,0.8288288288288288,0.04054054054054054,0.0,0.9594594594594594,Michael N. Gianaris RECAP,0.9594594594594594
