ED,Reported As,Reporting,Hakeem S. Jeffries (Working Families),Alan Bellone (Conservative),Hakeem S. Jeffries (Democratic),Scattered,Total Votes,Hakeem S. Jeffries RECAP,Alan Bellone RECAP,Scattered RECAP,p_Hakeem S. Jeffries (Working Families),p_Alan Bellone (Conservative),p_Hakeem S. Jeffries (Democratic),p_Scattered,p_Hakeem S. Jeffries RECAP,p_Alan Bellone RECAP,p_Scattered RECAP,winner,winner_p
60067,60067,100,0,3,106,0,109,106,3,0,0.0,0.027522935779816515,0.9724770642201835,0.0,0.9724770642201835,0.027522935779816515,0.0,Hakeem S. Jeffries RECAP,0.9724770642201835
60068,60068,100,6,3,108,0,117,114,3,0,0.05128205128205128,0.02564102564102564,0.9230769230769231,0.0,0.9743589743589743,0.02564102564102564,0.0,Hakeem S. Jeffries RECAP,0.9743589743589743
60069,60069,100,3,3,36,0,42,39,3,0,0.07142857142857142,0.07142857142857142,0.8571428571428571,0.0,0.9285714285714286,0.07142857142857142,0.0,Hakeem S. Jeffries RECAP,0.9285714285714286
60070,60070,100,5,1,74,0,80,79,1,0,0.0625,0.0125,0.925,0.0,0.9875,0.0125,0.0,Hakeem S. Jeffries RECAP,0.9875
60071,60071,100,7,2,132,0,141,139,2,0,0.04964539007092199,0.014184397163120567,0.9361702127659575,0.0,0.9858156028368794,0.014184397163120567,0.0,Hakeem S. Jeffries RECAP,0.9858156028368794
60072,60072,100,9,0,165,0,174,174,0,0,0.05172413793103448,0.0,0.9482758620689655,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60073,60073,100,2,0,127,0,129,129,0,0,0.015503875968992248,0.0,0.9844961240310077,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60074,60074,100,7,11,271,1,290,278,11,1,0.02413793103448276,0.03793103448275862,0.9344827586206896,0.0034482758620689655,0.9586206896551724,0.03793103448275862,0.0034482758620689655,Hakeem S. Jeffries RECAP,0.9586206896551724
60075,60075,100,11,4,242,0,257,253,4,0,0.042801556420233464,0.01556420233463035,0.9416342412451362,0.0,0.9844357976653697,0.01556420233463035,0.0,Hakeem S. Jeffries RECAP,0.9844357976653697
60076,60076,100,7,11,150,0,168,157,11,0,0.041666666666666664,0.06547619047619048,0.8928571428571429,0.0,0.9345238095238095,0.06547619047619048,0.0,Hakeem S. Jeffries RECAP,0.9345238095238095
60077,60077,100,13,4,158,0,175,171,4,0,0.07428571428571429,0.022857142857142857,0.9028571428571428,0.0,0.9771428571428571,0.022857142857142857,0.0,Hakeem S. Jeffries RECAP,0.9771428571428571
60078,60078,100,5,10,203,0,218,208,10,0,0.022935779816513763,0.045871559633027525,0.9311926605504587,0.0,0.9541284403669725,0.045871559633027525,0.0,Hakeem S. Jeffries RECAP,0.9541284403669725
60079,60079,100,6,3,139,0,148,145,3,0,0.04054054054054054,0.02027027027027027,0.9391891891891891,0.0,0.9797297297297297,0.02027027027027027,0.0,Hakeem S. Jeffries RECAP,0.9797297297297297
60080,60080,100,6,1,194,0,201,200,1,0,0.029850746268656716,0.004975124378109453,0.9651741293532339,0.0,0.9950248756218906,0.004975124378109453,0.0,Hakeem S. Jeffries RECAP,0.9950248756218906
60081,60081,100,11,1,225,0,237,236,1,0,0.046413502109704644,0.004219409282700422,0.9493670886075949,0.0,0.9957805907172996,0.004219409282700422,0.0,Hakeem S. Jeffries RECAP,0.9957805907172996
60082,60082,100,19,2,345,0,366,364,2,0,0.05191256830601093,0.00546448087431694,0.9426229508196722,0.0,0.994535519125683,0.00546448087431694,0.0,Hakeem S. Jeffries RECAP,0.994535519125683
60083,60083,100,15,8,298,0,321,313,8,0,0.04672897196261682,0.024922118380062305,0.9283489096573209,0.0,0.9750778816199377,0.024922118380062305,0.0,Hakeem S. Jeffries RECAP,0.9750778816199377
60084,60084,100,2,0,99,0,101,101,0,0,0.019801980198019802,0.0,0.9801980198019802,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
60085,60085,100,7,4,186,0,197,193,4,0,0.03553299492385787,0.02030456852791878,0.9441624365482234,0.0,0.9796954314720813,0.02030456852791878,0.0,Hakeem S. Jeffries RECAP,0.9796954314720813
60086,60086,100,3,1,81,0,85,84,1,0,0.03529411764705882,0.011764705882352941,0.9529411764705882,0.0,0.9882352941176471,0.011764705882352941,0.0,Hakeem S. Jeffries RECAP,0.9882352941176471
23044,23044,100,4,80,79,0,163,83,80,0,0.024539877300613498,0.49079754601226994,0.48466257668711654,0.0,0.50920245398773,0.49079754601226994,0.0,Hakeem S. Jeffries RECAP,0.50920245398773
23045,23045,100,7,107,94,0,208,101,107,0,0.03365384615384615,0.5144230769230769,0.4519230769230769,0.0,0.4855769230769231,0.5144230769230769,0.0,Alan Bellone RECAP,0.5144230769230769
23046,23046,100,10,116,77,0,203,87,116,0,0.04926108374384237,0.5714285714285714,0.3793103448275862,0.0,0.42857142857142855,0.5714285714285714,0.0,Alan Bellone RECAP,0.5714285714285714
