ED,Reported As,Reporting,Scattered,Velmanette Montgomery (Democratic),Velmanette Montgomery (Working Families),Total Votes,Scattered RECAP,Velmanette Montgomery RECAP,p_Scattered,p_Velmanette Montgomery (Democratic),p_Velmanette Montgomery (Working Families),p_Scattered RECAP,p_Velmanette Montgomery RECAP,winner,winner_p
56040,56040,100,0,217,29,246,0,246,0.0,0.8821138211382114,0.11788617886178862,0.0,1.0,Velmanette Montgomery RECAP,1.0
56041,56041,100,0,150,22,172,0,172,0.0,0.872093023255814,0.12790697674418605,0.0,1.0,Velmanette Montgomery RECAP,1.0
56042,56042,100,1,230,29,260,1,259,0.0038461538461538464,0.8846153846153846,0.11153846153846154,0.0038461538461538464,0.9961538461538462,Velmanette Montgomery RECAP,0.9961538461538462
56043,56043,100,0,250,27,277,0,277,0.0,0.9025270758122743,0.09747292418772563,0.0,1.0,Velmanette Montgomery RECAP,1.0
56044,56044,100,0,249,19,268,0,268,0.0,0.9291044776119403,0.0708955223880597,0.0,1.0,Velmanette Montgomery RECAP,1.0
56045,56045,100,0,171,27,198,0,198,0.0,0.8636363636363636,0.13636363636363635,0.0,1.0,Velmanette Montgomery RECAP,1.0
56046,56046,100,0,252,18,270,0,270,0.0,0.9333333333333333,0.06666666666666667,0.0,1.0,Velmanette Montgomery RECAP,1.0
56047,56047,100,1,230,28,259,1,258,0.003861003861003861,0.888030888030888,0.10810810810810811,0.003861003861003861,0.9961389961389961,Velmanette Montgomery RECAP,0.9961389961389961
56048,56048,100,0,199,14,213,0,213,0.0,0.9342723004694836,0.06572769953051644,0.0,1.0,Velmanette Montgomery RECAP,1.0
56049,56049,100,1,287,44,332,1,331,0.0030120481927710845,0.8644578313253012,0.13253012048192772,0.0030120481927710845,0.9969879518072289,Velmanette Montgomery RECAP,0.9969879518072289
56050,56050,100,0,258,42,300,0,300,0.0,0.86,0.14,0.0,1.0,Velmanette Montgomery RECAP,1.0
56051,56051,100,0,236,19,255,0,255,0.0,0.9254901960784314,0.07450980392156863,0.0,1.0,Velmanette Montgomery RECAP,1.0
56052,56052,100,0,225,36,261,0,261,0.0,0.8620689655172413,0.13793103448275862,0.0,1.0,Velmanette Montgomery RECAP,1.0
56053,56053,100,0,202,21,223,0,223,0.0,0.905829596412556,0.09417040358744394,0.0,1.0,Velmanette Montgomery RECAP,1.0
56054,56054,100,1,192,17,210,1,209,0.004761904761904762,0.9142857142857143,0.08095238095238096,0.004761904761904762,0.9952380952380953,Velmanette Montgomery RECAP,0.9952380952380953
56055,56055,100,0,265,32,297,0,297,0.0,0.8922558922558923,0.10774410774410774,0.0,1.0,Velmanette Montgomery RECAP,1.0
56056,56056,100,0,92,13,105,0,105,0.0,0.8761904761904762,0.12380952380952381,0.0,1.0,Velmanette Montgomery RECAP,1.0
56057,56057,100,0,191,15,206,0,206,0.0,0.9271844660194175,0.07281553398058252,0.0,1.0,Velmanette Montgomery RECAP,1.0
56058,56058,100,1,232,32,265,1,264,0.0037735849056603774,0.8754716981132076,0.12075471698113208,0.0037735849056603774,0.9962264150943396,Velmanette Montgomery RECAP,0.9962264150943396
56059,56059,100,0,144,8,152,0,152,0.0,0.9473684210526315,0.05263157894736842,0.0,1.0,Velmanette Montgomery RECAP,1.0
56060,56060,100,0,56,3,59,0,59,0.0,0.9491525423728814,0.05084745762711865,0.0,1.0,Velmanette Montgomery RECAP,1.0
56061,56061,100,1,100,5,106,1,105,0.009433962264150943,0.9433962264150944,0.04716981132075472,0.009433962264150943,0.9905660377358491,Velmanette Montgomery RECAP,0.9905660377358491
56062,56062,100,0,200,7,207,0,207,0.0,0.966183574879227,0.033816425120772944,0.0,1.0,Velmanette Montgomery RECAP,1.0
56063,56063,100,0,144,6,150,0,150,0.0,0.96,0.04,0.0,1.0,Velmanette Montgomery RECAP,1.0
56064,56064,100,0,233,9,242,0,242,0.0,0.9628099173553719,0.0371900826446281,0.0,1.0,Velmanette Montgomery RECAP,1.0
56065,56065,100,0,107,12,119,0,119,0.0,0.8991596638655462,0.10084033613445378,0.0,1.0,Velmanette Montgomery RECAP,1.0
56066,56066,100,0,46,2,48,0,48,0.0,0.9583333333333334,0.041666666666666664,0.0,1.0,Velmanette Montgomery RECAP,1.0
56067,56067,100,0,65,5,70,0,70,0.0,0.9285714285714286,0.07142857142857142,0.0,1.0,Velmanette Montgomery RECAP,1.0
56068,56068,100,0,193,7,200,0,200,0.0,0.965,0.035,0.0,1.0,Velmanette Montgomery RECAP,1.0
56069,56069,100,0,166,23,189,0,189,0.0,0.8783068783068783,0.12169312169312169,0.0,1.0,Velmanette Montgomery RECAP,1.0
56070,56070,100,0,158,10,168,0,168,0.0,0.9404761904761905,0.05952380952380952,0.0,1.0,Velmanette Montgomery RECAP,1.0
56071,56071,100,0,190,15,205,0,205,0.0,0.926829268292683,0.07317073170731707,0.0,1.0,Velmanette Montgomery RECAP,1.0
56072,56072,100,0,255,28,283,0,283,0.0,0.901060070671378,0.0989399293286219,0.0,1.0,Velmanette Montgomery RECAP,1.0
56074,56074,100,0,127,9,136,0,136,0.0,0.9338235294117647,0.0661764705882353,0.0,1.0,Velmanette Montgomery RECAP,1.0
56079,56079,100,0,126,24,150,0,150,0.0,0.84,0.16,0.0,1.0,Velmanette Montgomery RECAP,1.0
56080,56080,100,0,103,25,128,0,128,0.0,0.8046875,0.1953125,0.0,1.0,Velmanette Montgomery RECAP,1.0
